id,reviews
0,距离斯蒂芬・金（Stephen King）和德拉邦特（Frank Darabont）们缔造这部伟大的作品已经有十年了。我知道美好的东西想必大家都能感受，但是很抱歉，我的聒噪仍将一如既往。 在我眼里，肖申克的救赎与信念、自由和友谊有关。 ［1］信 念 瑞德（Red）说，希望是危险的东西，是精
1,
2,周末看了一部美国影片《肖申克的救赎》（《The Shawshank Redemption》） 讲的是一位因冤案入狱的年轻银行家在牢中如何追寻自由的故事。 不同的人看同样的影片可能都有不同的感受。对于目前无力改变现状的我，看完这部影片后最深的感受就是：才华、毅力两样，是任何人在任何境
3,Andy Dufresne，一个永垂电影史册的名字。  1  关于《The Shawshank Redemption》的评论，太多，该说的差不多都已说了千万遍。对于这样一个热门的话题，再想要抒发一些个人的喜爱之情，不免有拾人牙慧之嫌。为了避免这样没新意的事情发生，许多单词我就不再提了，譬如“希望”
4,一、缘起  从来没想过给《肖申克的救赎》写一篇影评，也许是生怕暴露自己只是个不谙世事的初级影迷，也许是对这样一部无法复制的影片真的不愿去过多地提起。然而一场出其不意的重感冒让我只能卧床裹被，已没有了力气去消化我那些故作高深、一直收着却懒得去看的电影，不期然地
5,"现在好象比较时兴将人分为体制内和体制外的人,体制外的人通常有某种优越感,似乎自己的人格才是独立的.可实际上,真正愿意做体制外的人还是很少的,而且是很痛苦的.余杰北大硕士毕业后差一点进了他想进的国家图书馆作一个体制内的人,可由于他写了一些比较反体制的文章,最后还是被"
6,
7,打一颗星并不是因为这部片很差，只是不明白怎么会是豆瓣电影里的头牌。用极端的踩来平衡下极端的捧。  N年前看的片子，当时觉得真不错。具体不错在哪里？或许是因为结局不错，主人公最终成功越狱到达梦想之地，观影者借以给自己希望，以为自己也能达到自由的彼处。  第一次看完
8,"* 是否记得片尾有一行字幕""In memory of Allen Greene""？翻译成中文就是""纪念Allen Greene ""。Allen Greene是《肖申克的救赎》编导Frank Darabont的经纪人，在影片完成 的前夕死于AIDS的并发症。 　　 　　* 是否记得刚来到监狱的新囚犯们走下囚车时，嘲笑他们的人群中有一个"
9,你知道，束缚越紧，梦也就会在心里勒下越深的痕迹。《肖申克的救赎》是一场关于笼中鸟如何飞往自由的梦，用我一位网友的话来说，看了它，甚至会让人觉得重生。  而在观影过程中，我反复想起的另一部电影，是《海上钢琴师1900》：这两个故事都是由小说改编；这两部电影都有和故
10,肖申克的救赎告诉我们:”心若是牢笼，处处为牢笼，自由不在外面，而在于内心。” 人们追求自由，提倡自由，但其实束缚正来自于本身，来自于内心。我们为自己设立了条条框框，将自己困在方寸之地，即使身体自由，灵魂也被囚禁，原来画地为牢的正是自己。 不过”你知道，有些鸟儿
11,"These walls are kind of funny like that. First you hate them, then you get used to them. Enough time passed, get so you depend on them. That`s institution alized. “监狱里的高墙实在是很有趣。刚入狱的时候，你痛恨周围的高墙；慢慢地，你习惯了生活在其中；最终你"
12,最罪恶的地方最闪亮的光，那是什么？罪恶的不是监狱，是磨灭人心，给人心套上枷锁的制度，希望也不是逃出，而是为生而生的希望。   《肖申克的救赎》涵盖全片的主题是“希望”，全片透过监狱这一强制剥夺自由、高度强调纪律的特殊背景来展现作为个体的人对“时间流逝、环境改造
13,"“Remember, hope is a good thing, maybe the best of things and no good thing ever dies!”（请记住，信念是美好的，或许也是人间至善，而美好的事物将永不消逝。）       安迪虽身在监狱，但心却早已追随信念飞向远方。我们无从知晓究竟从哪一刻起他才萌生了挖洞逃生的念"
14,
15,
16,"You know some birds are not meant to be caged, their feathers are just too bright. 你知道，有些鸟儿是注定不会被关在牢笼里的，它们的每一片羽毛都闪耀着自由的光辉。 这些墙很有趣。刚入狱的时候，你痛恨周围的高墙；慢慢地，你习惯了生活在其中；最终你会发现自己不得"
17,人都有向上之心，但在实践的人生中，沉沦似乎是不可避免的。这是为什么呢？因为我们活在世界上，受的制约太多。我们都想只为自己而活，但是，又常常不可得。规范得遵循，游戏规则要遵守，责任得去尽，还要努力取得成就（在这个贫乏的时代，成就只不过是金钱的代名词，20世
18,
19,
20,
21,
22,看完之后  给我的印象特别深刻  我认真思考人生   我的未来  或许真的有时候需要强大的信念  才能把人生活的更加完美  人的一生不可能总是顺风顺水  偶尔有一点小坎坷也是在所难免 所以我看完之后终于明白坚持信念是需要多大的勇气  不抛弃不放弃  永远相信希望就在前方   只有
23,难得看到评分高的影片，看下来确实没让我失望。一个年轻有为有着大好前途的银行家，妻子背叛了他，他也被冤枉而锒铛入狱。本以为他这样的身份，又遭遇了这样的变故，会很难在监狱待下去，或者连继续生存下去的信心都被磨灭。却没想到他不仅很快就融入了这个大环境，还因为自己
24,"有一种鸟儿是永远也关不住的 因为它的每片羽翼都沾满了自由的光辉 我一直都记得电影中， 当ANDY说出自己越狱计划的时候， RED认为他是在妄想， 当时ANDY的回应是以下的话： “fear can hold you prisoner,hope can send you free.” 救赎是从心灵上的： 救自己于困境， 赎过往"
25,第一次看完它的时候还不知道什么叫做自由，便反复观摩，数年后的一天在一遍又一遍的体会和琢磨中看到了人性的坚韧和希望的力量，转眼望去至今走过的路，蹒跚磕绊，但总有一种永不放弃的力量去推动你，相信一切。直到今天再看到这部电影的名字才发现，是它潜移默化的教会了我成
26,不朽  是我观看后对它内心深处最为自然的评价   该片的主题是 希望  并在牢狱题材电影中突破了类型片的限制 拍出了同类作品罕见的人情味和温馨感觉 以至今日 该片几乎在国内外各大电影网站的电影排行中始终稳坐第一    该电影用第三人称的旁白描绘了肖申克监狱二三十年间所发生
27,“有些鸟注定是不会被关在笼子里的，因为它们的每一片羽毛都闪耀着自由的光辉。”安迪反锁广播室播放《费加罗的婚礼》那段真心让我热血澎湃。他是这样一个人，无论怎么样，规矩只能锁住他的的肉体，但绝对锁不住他的灵魂！能救赎自己的，只有自己 。 也许我们每个人都是肖申克
28,简直就是穿越过来的基督山伯爵啊！这是我看完《肖申克的救赎》的第一反应。犹记得高中时候天天晚上在被窝打着手电筒看《基督山伯爵》的场景……两个人都太不幸了！同样是年轻有前途的帅哥，同样遭人陷害被判入狱，然后同样在狱中获得各种技能学会N国语言，然后带着恨越狱逃出来
29,安迪花十几年时间做成一件事情，这件事情在未完成之前，在别人看来并没有意义。但在他心理，这些无意义的事情都是他精密计划的一部分。做好计划，做好一切准备，等待恰当的时机，完成计划，完美。 如果每个人都可以做到，心中有了计划，无视他人的嘲讽，然后耐着性子等待机遇，
30,有人说不看“肖申克的救赎”的人生是不完整的。我想大概只有认认真真看过的人才懂这句话。 每个人所执着的点和感触的地方都不一样。关于希望，关于价值，关于毅力，是我印象比较深刻的地方。 小有成就的青年银行家安迪，因涉嫌杀害妻子及她的情人而锒铛入狱。来到肖申克的监狱
31,<一> 自由是埋在心里的一枚种子 影片中有这样三个场景：一个是这样的，在一个春光明媚的清晨，囚犯干完活后，在屋顶闲散地坐着，很悠然地喝着安迪可以说是用生命换来的冰镇啤酒，享受着温暖悠闲的阳光，那就仿佛是在自家的屋顶上一样，享受着来之不易的自由?? 另一个场景里，在
32,
33,"First you hate 'em, then you get used to 'em. Enough time passes, gets so you depend on them. That's institutionalized. 这些墙很有趣。刚入狱的时候，你痛恨周围的高墙；慢慢地，你习惯了生活在其中；最终你会发现自己不得不依靠它而生存。这就叫体制化。    I guess i"
34,《肖申克的救赎》看过很多遍，没有一次是厌倦的，是乏味的，是不耐的。似乎每次回顾都能带来更多的体悟。  影片主要讲述了一位年轻有为的银行家安迪被怀疑杀害了妻子和妻子的情夫，由于律师的无能和司法的昏馈而被判终身监禁，服刑于肖申克监狱。安迪在狱中的铁笼里用一把六英
35,Zihuatanejo 是一个地方，在墨西哥，太平洋岸。你知道墨西哥人怎么称呼太平洋吗？那是没有回忆的海洋。那就是我想去的地方。一个温暖而没有回忆的地方。  Andy Dufresne 这么告诉 Red 。  他们坐在肖申克监狱的高墙下，石头筑成的高墙，而墨西哥在遥远的南方。  于是他们最终在
36,"《肖申克的救赎》毫无疑问是一部好片子，没有动作,没有特技,甚至没有美人，却依然能深深打动观众,并且历经十几年而魅力不减。它靠什么吸引我们？ 有人说是因为它反映出了“人性之韧”。确实，用一把小榔头，近20年的时间，在人身控制极为严格的法西斯式监狱，挖出了一条逃生的"
37,超级喜欢这部电影～男主被冤枉进了了监狱但一直也没有放弃。几十年挖通了一条通往外界的路，这种信念常人难以达到。靠自己智慧最终获得了自由。监狱长得到了应有的惩罚。只是看到那个在监狱里生活了一辈子的老人出了监狱却不知如何生存，和外界世界隔离了太久已经无法融入社会
38,http://hengge.blogbus.com/logs/2003/06/17233.html  记不清楚这是第几遍看这部片子了，因为刚刚洗了全美的D9，就随手又看了一遍。我不知道别人喜欢这部片子的原因是什么――因为每个人喜欢一部作品的时候都会搀杂自己的情感和经历，而每个人的情感和经历又是各不相同的。我喜
39,1、不要忘了，这个世界穿透一切高墙的东西，它就在我们的内心深处，他们无法达到，也接触不到，那就是希望。 2、监狱里的高墙实在是很有趣。刚入狱的时候，你痛恨周围的高墙；慢慢地，你习惯了生活在其中；最终你会发现自己不得不依靠它而生存。这就是体制化。肖申克的救赎经典
40,"Some birds aren't meant to be caged, that's all. Their feathers are just too bright.有些鸟儿是永远关不住的，因为它们的每一片羽翼上都沾满了自由的光辉! 这是《肖申克的救赎》的一句经典台词，一度被我奉为经典，天天挂在MSN上，尤其是离开第一家公司的前夕，仿佛成"
41,来时路是来时路。来时人却已不是来时人。那年走进监狱，肖申克没有背负的罪恶终将被他自己亲手解救。 圣者渡人，强者自渡。 不会被困住的鸟，永远有一颗不屈服不畏惧满怀激情的炙热之心。 ．I have to remind myself that some birds aren’t meant to be caged. Their feather
42,这部电影贯穿全片的就有一个“希望和自由”，有一句话说的很好“监狱这个地方，就是你刚开始恨他，后来慢慢习惯他，到最后离不开他”，里边的老布就是一个明显的证明，在监狱里关了50年的双手有关节炎的老人，因为有点文化在监狱里可以享受到那么一点点的比别人高的待遇，可是
43,
44,这个片子已经被放到显微镜下粉碎到纳米级研究啦，所以我就不说那么多了。说点别人之前没说的，表示我也不是一无所知这种态度，大概就叫小聪明。 为什么一定要爬出5个足球场长的地下管道？管道在此处很明显象征阴道，爬出来人就重生了。象征胎衣的囚服，代表洗礼的大雨。这几
45,这是一部老片子了，很经典。有内容的东西就是会留存下来，任何时候都不过时。喜欢这部电影是因为它的博大，你能感悟任何你渴望了解的:信念、自由、友谊、制度、理性…… 电影名字直接明了，是Andy的救赎，也是生命的救赎。影片里，Red说，希望是危险的东西，是精神苦闷的根源。
46,安然/文  QQ上的网友把CCTV说成CCAV，以嘲笑它的僵化或曰假正经。可当你不再寄望于这位老夫子时，冷不防它又扮回鬼脸儿，还真能带给你一点惊喜。今晚我就见到梁文道现身这期的《周六佳片有约》里。那些至今还没听说过此兄的同志肯定不能算骨灰级的爱书人，由于你们的缘故，请
47,《肖申克的救赎》观感： 1、事情发生了就去面对和适应吧。 安迪进了监狱，哪怕是无罪的，他还是逆来顺受了。 2、以积极的态度去看待问题。如果不是一直保持希望，积极的去制造机会、用尽智慧，我不知道安迪的逆来顺受意义何在。 3、机会是留给有准备的人，事情也是在计划中慢慢
48,"《肖申克的救赎》毫无疑问是一部好片子，没有动作,没有特技,甚至没有美人，却依然能深深打动观众,并且历经十几年而魅力不减。 影片主要讲述了一位年轻有为的银行家安迪被怀疑杀害了妻子和妻子的情夫，由于律师的无能和司法的昏馈而被判终身监禁，服刑于肖申克监狱。安迪在狱中"
49,《肖申克的救赎》是一场关于笼中鸟如何飞往自由的梦，看了它，甚至会让人觉得重生。 之前有很多精彩的桥段，比如安迪脸上挂着奇异的微笑请大家喝酒，比如安迪一手建起全州最好的监狱图书馆，比如安迪不计后果地让高亢的女声穿透云遮雾掩的层层封锁响彻云端，都是对自由的由衷礼
50,"一直没看   也听人说过很经典 是不能错过的电影  人有时候就是有点奇怪 明明想那么做却又不那么做  突然想起盘里有部“好”电影一直没看过   就看了  一分钟都没离神   认认真真的看完了   的确是部好电影  虽然场景大部分在监狱   却让人一直有股温暖的感觉  最温暖,感受最深"
51,
52,在美女的大幅海报背后藏着一个洞，一个人对希望的无尽向往。有趣的是，画面常常正是人们通往梦境与希望的道路。画面背后是现实主义的墙壁，但墙上却有一个理想主义的洞。        墙上的洞是一种途径，音乐当然也是一种途径。在某种意义上，音乐跨越了所有的界限。在某种
53,喜欢Morgan Freeman低沉的嗓音，所有的旁白，干净而沉淀下来。       其实这样的电影更适合夜深人静独自品味，或许昏暗的灯光和暖暖的咖啡更适合对比黑与白的分界。不过还好，一个人的寝室，阴沉的天空，间或传来火车的轰鸣，随着Andy和Red的步调感受，某种对自由的渴望。 
54,上周末电影频道重播肖申克的救赎（以下简称肖）又在豆瓣引起了一次不小的轰动，把人们的视线又一次的聚集在这个十几年前的片子上了，这个现象很值得思考，在多元化的时代中为什么还有人去关注经典为什么还有人为了一部重播片而看得热血沸腾，为什么？？？ 肖片不仅仅讲述的是一
55,"I find I’m so excited. I can barely sit still or hold a thought in my head. I think it the excitement only a free man can feel, a free man at the start of a long journey whose conclusion is uncertain. I hope I can make it across the border. I hope to see m"
56,根据MBTI的人格划分，Andy Dufresne是典型的INTJ――  （I:极强的自我驱动）+（N:对希望和内心自由的坚定信仰）+（T:周密冷静到可怖的思维能力）+（J:无可置疑的行动力）   INTJ在人群中的比例不足1%，而每一个维度都发展到接近极致，套用对嘉宝的形容：他简直是人类进化的终极
57,
58,肖申克的救赎 这个剧我看了两遍，剧情扣人心弦，特别过瘾，我都不知用什么样的语言来形容了。安迪因为涉嫌杀害妻子及情人而锒铛入狱，终身监禁给人的感觉就是以后必定暗无天日，没过多久，安迪尝试接近了囚犯中声望颇高的瑞德，希望能搞来小锤，从此两人成为朋友，安迪也渐渐找
59,这不是我看次数最多的电影，但却是印象最深也最为震撼的电影。 在刚开始看这部电影的时候，甚至觉得有些无聊，不知道导演到底想要表达什么，都是监狱里的日常琐事，安迪虽然很聪明，但是，他已经被法院判处监禁，已经到了监狱里，在监狱里也渡过了人生的一个个十年，难道影片想
60,2007-11-16	 周五 小雨阴冷  刚刚结束痛苦的作业  F1-210 一人  我很胆小 总是很容易被吓到 一点恐怖的东西都不敢接触 听了太好听的音乐总是不敢相信自己的耳朵 看了太好的故事太好的电影不敢相信的自己的眼睛````  看到自己喜欢的男人脸红不敢抬头不敢说话 遇见了就是遇见了  
61,同样的电影题材被无数的电影人所拍，但是论到经典性，竟很难有伯仲之间的影片，究其根源，还是在于本片整体上的完美和引人深思。无论是主题上的深刻，还是人物上的塑造，或是镜头语言的潜台词，它都给人无与伦比的震撼。     含冤入狱十九载，救赎的唯一方式，非正常途径获得自
62,曾经看《肖申克的救赎》的评分吓死，今天终于抽时间看了，在B站的四部影片合集中看滴 电影讲的是一位因冤案入狱的年轻人在牢中如何追寻自由的故事。 不同的人看同样的影片可能都有不同的感受。我看完这部影片后最深的感受就是：安迪是真的有才，开始我以为他想在狱中出人头地好
63,
64,震撼，是这部电影给我最深刻、最直接的冲击。十九年的冤狱，纵使水落石出却依然投诉无门。可笑的典狱长总是一副道貌岸然的救世主形象。导演曾一度误导我们在唯一的希望破灭后，安迪会以死亡来向这个黑暗世界说再见，显然这是一个天大的玩笑。真正坚强如安迪怎么会选择这样的方
65,"“Hope is a good thing, maybe the best of things, and no good thing ever dies.” When Andy Dufresne puts it in such a quiet way, my heart ache because of it. Have you ever felt that way about hope? Hope is the only thing in the wild world not carved out of "
66,这部电影已经看过两年，很多细节其实已经不是那么的清晰，我也从来没有想过要写关于肖申克的观感，因为写的人太多，要写出新意很难。我这人向来没有竞争意识，或者说，我这人好面子，怕输，所以宁可避免跟别人直接较量，这也许是不自信的一种表现吧。今天，看到有人回我的帖子
67,"1.You know some birds are not meant to be caged, their feathers are just too bright. 你知道，有些鸟儿是注定不会被关在牢笼里的，它们的每一片羽毛都闪耀着自由的光辉。  2.There is something inside ,that they can't get to , that they can't touch. That's you"
68,"《肖申克的救赎》毫无疑问是一部好片子，没有动作,没有特技,甚至没有美人，却依然能深深打动观众,并且历经十几年而魅力不减。它靠什么吸引我们？ 有人说是因为它反映出了“人性之韧”。确实，用一把小榔头，近20年的时间，在人身控制极为严格的法西斯式监狱，挖出了一条逃生的"
69,主人公面对糟糕的处境，面对充满丑恶狰狞的嘴脸，活在到处不友好的环境里，主人公都没有放弃希望，依旧怀揣这对未来的希望与向往，努力朝着自己的目标奋斗着，即使身处荆棘之中，仍然不失奋斗的勇气。纵使产生过消极的思想，但最终还是被自己坚毅的打到。外界所有的不友好因素
70,“把信仰寄托神，把贱命交给我。” 这是电影《肖申克救赎》中典狱长的两句话，而当Andy走进监狱，听到典狱长的训言后，就像Red所说：“当你进笼，门闸锁上，你才明白这是玩真的，眨眼间，一生就毁了，只留下无穷的悔恨。” 自从1994年弗兰克-德拉特将它搬上荧幕之后，这部电影
71,《肖申克的救赎》讲述的是关于自由的故事。安迪的自由之路，也是所有人在追寻的那条路。  自由第一，这几乎是人类的共同观点。但是这条自由之路对于囚徒来说，却显得那么艰难。首先，他们不具备拥有自由的资格。法律剥夺了他们的自由。而安迪在监狱里所做的，是让囚徒们意识到
72,我们都是FREEMAN                           ――《肖申克的救赎》观后                                     A     当安迪怀揣着巨额支票和自由的梦想，钻进那条开凿了二十年的隧道，爬过足有五个足球场之长的污水管道，最终到达监狱外的那条小河时，影片中暴雨大作，电闪雷鸣
73,
74,"内容作者：尧尧 内容播音：阿柯 相关标签：肖申克,经典,电影,赏析 时间长度：约13分钟 发布时间：2007-08-24 文件大小：4.58M 内容介绍：《肖申克的救赎》所讲述的是一种生活，他把生活的一切肢解的那么残酷却又诠释的那么美善，肖申克监狱就是这个世界的缩影，是茫茫生活的一"
75,书上有关鸟儿的经典话语很多。      比如――《荆棘鸟》。       “传说中有一种荆棘鸟，一生只唱一次，那歌声比世界上所有一切生灵的歌声都更加优美动听。从离开巢窝的那一刻起，她就在寻找荆棘树，直到如愿以偿。然后，她把自己的身体扎进最长、最尖的刺上，在那荒蛮的枝
76,对于生命的意义，很多人还没有弄清，我就是这样。    如果你和我一样，那可以看看“肖申克的救赎”。    曾经以为电影是浅薄的，看完之后，爱看电影了。    有些电影是消耗生命的，而有些是可以延长生命的，比如“肖申克的救赎”。    做人可以不嚣张，但一定要有希望有志向。
77,一个人在监狱里被关上十九年，或者更长的时间，他会变成一个什么样子？     《肖申克的救赎》似乎在给我们展现这个问题的各种结果：老布在囚禁五十年之后假释，因为无法适应狱外的生活而自杀；瑞德在经历漫长的牢狱生活之后逐渐的体制化，变得心灰意懒；而安迪，则在经历了
78,梦想便是力量。瑞德曾经开玩笑地说：难道你想用一把榔头挖一条地道？而当最后真得变成现实时，17年每天在墙上刻凿的坚持，从下水道里爬出去的勇气，便是多少所没有的智慧。他除了一丝不苟的精神最让人敬佩的便是这份梦想的坚守和努力。爬过下水道五百码外，便是自由，而他也过
79,影片讲述了一个被诬陷谋杀自己妻子与其情夫的银行家安迪被终身监禁在肖申克监狱里，他非凡的气质引起了囚犯里德的注意并逐渐与他结为好朋友。安迪总是以一种沉默冷静的方式全力维护自己作为正常人应该拥有的一切。一个偶然的机会，他开始以他丰富的金融知识帮助狱卒们安全的逃
80,“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困……”  故事发生在1947年，银行家安迪被指控枪杀了妻子及其情人，安迪被判无期徒刑，这意味着他将在肖恩克监狱中渡过余生。含冤入狱，加上恶劣的生活环境，安迪在监狱里一开始的日子是很消极的。 但有
81,第一次看了很感动的一部电影，其实情节早就知道了，在读者上看到了，当时还不知道这部片子很有名气！后来又看到了关于这部片子的介绍，力荐去看。其实有犹豫，一部知道了情节的片子有必要再看一遍吗？不过再看还是很感动..刚那个人上吊自杀后，我真的很难过，一种莫名的
82,这是我最喜欢的电影之一了 看完之后 久久不能缓过来 很多时候一部好的电影 就是给予启迪 发人深省 从电影中学到很多东西 几乎没有女性角色 这部电影依旧非常精彩 剧情连贯 铺垫合适 却又看不出端倪 主角安迪无辜入狱 遭受无妄之灾 想逃却逃不出去 本是一个小有成就的银行家 上
83,
84,
85,片子里面描写的一些事情，不得让我有所感触。被包在一个活动不开的地方，一直渴望要出去。当摩根。佛里慢 走到还边时，所有烦恼都抛在脑后，真实体现自由是美丽。
86,逃避体制化的可能性 ――纪念电影《肖申克的救赎》公映十周年 桑克      每个人都有罪，赎罪也就理所当然。此罪当指原罪。电影《肖申克的救赎》从片名到内容显然有此意味。但原罪却非本片关注的核心，仅仅作为一个借助性概念，以阐释类似困境――司法之罪与恶人之罪双重管辖的
87,希望是危险的东西，是精神苦闷的根源。强者自救，圣者渡人。然而强者终究是少数。自由面前，更多的人们纷纷选择禁锢。在监狱图书馆呆了五十年的 Brooks，为了不被假释，竟然想通过伤害狱友来达到留在监狱的目的。很奇怪吗？自由、平等、博爱，本来应该是人们向往和追求的理
88,
89,这是一部关于梦想的电影 虽然它有太多的限制、坎坷、磨难  电影中太多的经典台词 Red说：四十年了，每次撒尿都要先请示过，没有获得批准，我连一滴尿也撒不出来。 Andy说：要么忙着生活，要么忙这死亡 Red说：Andy穿过肮脏的下水道去往了另一片干净的天地 墨西哥人形容大西洋是
90,"我们都有被怀疑和被误解的经历,但当你被误解到锒铛入狱的时候,还能拿什么拯救你自己;当你困在了物质和精神都是空洞的监狱世界,空虚,无助的你回怎么渡过.    看完后,我至少认为你的知识能够做到这一点,他不但可以打发无聊的时间,更甚可以挽救你出狱.所以我又找到一个读书的好"
91,“这是一部男人必看的电影。”人人都这么说。但单纯从性别区分，就会让这电影变狭隘。《肖申克的救赎》突破了男人电影的局限，通篇几乎充满令人难以置信的温馨基调，而电影里最伟大的主题是“希望”。 “希望”心中最真切的幻想、盼望、期望、愿望…… 当我们无奈地遇到了如同
92,看完这部影片出去跑步，想了很多。 一直以来我都在寻求一个关于活着的意义的答案，却总是一无所获，所以有时我很勤奋，有时却又过得慵懒无比，相信这也是大多数人所有的生活。有时把生命想的太匆匆，反而非常容易看见生命的无义，于是对死亡的恐惧总把心灵抓紧，而消极感总让人
93,"提供两个花絮： 1,这个电影改编自史蒂夫.金(Stephen King)的作品 2,当年在角逐奥斯卡时，遗憾的败给了阿甘"
94,"监狱束缚了安迪的肉体，却禁锢不了安迪自由的灵魂。能将你从黑暗的现实里救赎的，唯有你自己。 You know some birds are not meant to be caged, their feathers are just too bright. 有些鸟儿是永远关不住的，因为它们的每一片羽翼上都沾满了自由的光辉 。 I guess it comes "
95,
96,我看电影不多，少年时和大伙一起租碟来看的时候，心思总活络在桌上的一盘花生或者糖果上，结果和人聊起电影的时候，总是因为不能理明白故事脉络而被人唾弃――你丫看过这电影儿么，没看过就不要装逼。  这话被人说了多次以后，渐渐变成了我人生准则的一部分，那就是，千万不要
97,"Hope is a good thing,maybe the best thing of the world  and good things will never die…… 这句话，伴随着肖申克，从第一次看这部影片起，就深深的印在我心底   每当有人问起，你最喜欢的电影，脑海中第一个闪过的，就是《肖申克的救赎》。   阴天的午后，充斥着希望和落"
98,"""Get busy living , or get busy dying""         很久以前就想@部影:The Shawshank Redemption         得第一次看是在05年底 距x@部著作Q生整整10年         r看完非常激悠F在再看也激 可是2005年的那N激邮且珈堆员淼 Shawshank以及社"
99,有太多的人喜欢肖申克了，但是有更多的人喜欢阿甘。我同样喜欢阿甘，但是相比之下，阿甘毕竟只是美国人的阿甘，但是肖申克却是全世界的肖申克
